"tag" "N"
"t01" 17741
"t02" 17776
"t03" 992
"t04" 100
"t05" 17795
"t06" 100
"t07" 99
"t1" 100
"t11" 100
"t12" 3891
"t13" 995
"t14" 100
"t15" 995
"t16" 100
"t17" 200
"t2" 995
"t21" 200
"t22" 3896
"t23" 100
"t24" 100
"t25" 995
"t26" 992
"t27" 200
"t3" 997
"t31" 3875
"t32" 990
"t33" 996
"t34" 17743
"t35" 100
"t36" 200
"t37" 3907
"t4" 200
"t41" 995
"t42" 3904
"t43" 100
"t44" 3891
"t45" 200
"t46" 994
"t47" 17770
"t5" 100
"t51" 3917
"t52" 17734
"t53" 17678
"t54" 100
"t55" 997
"t56" 3916
"t57" 995
"t6" 17723
"t61" 3893
"t62" 995
"t63" 994
"t64" 200
"t65" 996
"t66" 200
"t67" 200
"t7" 100
"t71" 199
"t72" 995
"t73" 997
"t74" 3920
"t75" 996
"t76" 100
"t77" 100
"t8" 3900
"t81" 200
"t82" 17812
"t83" 100
"t84" 200
"t85" 17805
"t86" 17749
"t87" 17700
"t9" 200
"t91" 3905
"t92" 200
"t93" 3911
"t94" 3912
"t95" 995
"t96" 200
"t97" 100
"tb" 996
"tb1" 3926
"tb2" 998
"tb3" 100
"tb4" 200
"tb5" 17763
"tb6" 3908
"tb7" 11002
"tc" 3905
"tc1" 3902
"tc2" 993
"tc3" 995
"tc4" 17762
"tc5" 17710
"tc6" 993
"td" 995
"td1" 3906
"td2" 3901
"td3" 100
"td4" 17732
"td5" 99
"td6" 991
"tf" 3886
"tf1" 17717
"tf2" 3909
"tf3" 200
"tf4" 3905
"tf5" 995
"tf6" 100
"tg" 994
"tg1" 100
"tg2" 993
"tg3" 100
"tg4" 100
"tg5" 100
"tg6" 200
"th" 3921
"th1" 200
"th2" 997
"th3" 100
"th4" 17681
"th5" 17749
"th6" 17706
"tj" 100
"tj1" 993
"tj2" 100
"tj3" 200
"tj4" 3907
"tj5" 3887
"tj6" 991
"tk" 100
"tk1" 3882
"tk2" 99
"tk3" 3900
"tk4" 100
"tk5" 3898
"tk6" 100
"tl" 3915
"tl1" 993
"tl2" 3903
"tl3" 3895
"tl4" 200
"tl5" 17722
"tl6" 200
"tm" 3907
"tm1" 100
"tm2" 17763
"tm3" 200
"tm4" 100
"tm5" 3906
"tm6" 200
"tn" 200
"tn1" 200
"tn2" 200
"tn3" 3918
"tn4" 100
"tn5" 996
"tn6" 17761
"tp" 992
"tp1" 3917
"tp2" 17796
"tp3" 993
"tp4" 100
"tp5" 200
"tp6" 17702
"tq" 991
"tq1" 17817
"tq2" 17796
"tq3" 3899
"tq4" 994
"tq5" 997
"tq6" 17771
"tr" 200
"tr1" 993
"tr2" 3901
"tr3" 992
"tr4" 100
"tr5" 17722
"tr6" 3907
"ts" 100
"ts1" 199
"ts2" 17790
"ts3" 100
"ts4" 3906
"ts5" 100
"ts6" 199
"tt" 200
"tt1" 100
"tt2" 100
"tt3" 100
"tt4" 100
"tt5" 100
"tt6" 199
"tv" 996
"tv1" 199
"tv2" 3907
"tv3" 3898
"tv4" 3890
"tv5" 995
"tv6" 995
"tw" 995
"tw1" 200
"tw2" 995
"tw3" 17693
"tw4" 995
"tw5" 17742
"tw6" 3912
"tx" 3904
"tx1" 17846
"tx2" 3901
"tx3" 100
"tx4" 3915
"tx5" 994
"tx6" 200
"tz" 3912
"tz1" 100
"tz2" 17737
"tz3" 200
"tz4" 17745
"tz5" 3906
"tz6" 17787
