"slide" "orient" "n_tags" "tags"
0 "H" 16 "tm2"
1 "H" 16 "tz2"
2 "H" 16 "t51"
3 "H" 16 "tq1"
4 "H" 16 "t47"
5 "H" 16 "t02"
6 "H" 16 "tq6"
7 "H" 16 "tx"
8 "H" 16 "tl"
9 "H" 16 "th6"
10 "H" 16 "tb5"
11 "H" 16 "tm2"
12 "H" 16 "tm"
13 "H" 16 "t87"
14 "H" 16 "tx1"
15 "H" 16 "t6"
16 "H" 16 "t42"
17 "H" 16 "th5"
18 "H" 16 "t82"
19 "H" 16 "t87"
20 "H" 16 "tr1"
21 "H" 16 "t56"
22 "H" 16 "tz4"
23 "H" 16 "tn6"
24 "H" 16 "tw3"
25 "H" 16 "tq1"
26 "H" 16 "tl5"
27 "H" 16 "th6"
28 "H" 16 "tq1"
29 "H" 16 "tl3"
30 "H" 16 "t85"
31 "H" 16 "tw5"
32 "H" 16 "th5"
33 "H" 16 "t52"
34 "H" 16 "th4"
35 "H" 16 "tp5"
36 "H" 16 "tw5"
37 "H" 16 "tx1"
38 "H" 16 "tq2"
39 "H" 16 "t02"
40 "H" 16 "th4"
41 "H" 16 "t86"
42 "H" 16 "tq1"
43 "H" 16 "t53"
44 "H" 16 "tb7"
45 "H" 16 "tw6"
46 "H" 16 "tx1"
47 "H" 16 "tc5"
48 "H" 16 "t22"
49 "H" 16 "tm2"
50 "H" 16 "tb7"
51 "H" 16 "t75"
52 "H" 16 "tr3"
53 "H" 16 "tq3"
54 "H" 16 "t02"
55 "H" 16 "tn6"
56 "H" 16 "th"
57 "H" 16 "tz2"
58 "H" 16 "tx1"
59 "H" 16 "tv5"
60 "H" 16 "tb5"
61 "H" 16 "t85"
62 "H" 16 "tl5"
63 "H" 16 "t82"
64 "H" 16 "tc4"
65 "H" 16 "t44"
66 "H" 16 "t53"
67 "H" 16 "tz4"
68 "H" 16 "t46"
69 "H" 16 "tq2"
70 "H" 16 "th4"
71 "H" 16 "tc5"
72 "H" 16 "tl5"
73 "H" 16 "ts2"
74 "H" 16 "tx3"
75 "H" 16 "tj4"
76 "H" 16 "t02"
77 "H" 16 "tb5"
78 "H" 16 "th5"
79 "H" 16 "t02"
80 "H" 16 "tx1"
81 "H" 16 "t85"
82 "H" 16 "ts2"
83 "H" 16 "tz6"
84 "H" 16 "tv2"
85 "H" 16 "tz6"
86 "H" 16 "tx1"
87 "H" 16 "tw3"
88 "H" 16 "t12"
89 "H" 16 "t6"
90 "H" 16 "t53"
91 "H" 16 "tk5"
92 "H" 16 "tq1"
93 "H" 16 "t52"
94 "H" 16 "t52"
95 "H" 16 "t85"
96 "H" 16 "tf"
