"tag" "N"
"t001" 20
"t002" 20
"t011" 20
"t0c" 20
"t0f1" 20
"t0j1" 20
"t0l1" 20
"t1" 20
"t13" 20
"t141" 20
"t181" 20
"t19" 20
"t1s" 20
"t1w" 20
"t2" 20
"t221" 20
"t242" 20
"t2m" 20
"t2m1" 20
"t2t" 20
"t2x1" 20
"t33" 20
"t34" 20
"t351" 20
"t38" 20
"t3c1" 20
"t3g" 20
"t3k" 20
"t3r1" 20
"t3w" 20
"t412" 20
"t452" 20
"t462" 20
"t471" 20
"t4d2" 20
"t4r" 20
"t4t1" 20
"t4x" 20
"t511" 20
"t532" 20
"t55" 20
"t5f1" 20
"t5v1" 20
"t5w1" 20
"t622" 20
"t692" 20
"t6c" 20
"t6t" 20
"t6z" 20
"t711" 20
"t74" 20
"t76" 20
"t762" 20
"t7d" 20
"t7d1" 20
"t7n1" 20
"t7p1" 20
"t7q1" 20
"t81" 20
"t86" 20
"t861" 20
"t882" 20
"t8b1" 20
"t8l" 20
"t8l1" 20
"t8t1" 20
"t991" 20
"t9d1" 20
"t9k" 20
"tb02" 20
"tb5" 20
"tb7" 20
"tbj" 20
"tbm" 20
"tbv" 20
"tc61" 20
"tcl" 20
"tcv1" 20
"td" 20
"td41" 20
"td62" 20
"td7" 20
"tdb2" 20
"tdd1" 20
"tdg" 20
"tdn1" 20
"tdp" 20
"tdp1" 20
"tf2" 20
"tf42" 20
"tfc2" 20
"tfr1" 20
"tg7" 20
"tgb2" 20
"tgc" 20
"tgn" 20
"tgp1" 20
"tgt1" 20
"th1" 20
"th42" 20
"th61" 20
"th8" 20
"thb1" 20
"thc" 20
"thc1" 20
"thh1" 20
"thn" 20
"thp1" 20
"tht1" 20
"tj41" 20
"tj82" 20
"tjb1" 20
"tjr1" 20
"tjs1" 20
"tjt" 20
"tk22" 20
"tk6" 20
"tkc1" 20
"tkf" 20
"tkr1" 20
"tl72" 20
"tld1" 20
"tlm" 20
"tlz1" 20
"tm7" 20
"tm81" 20
"tm9" 20
"tmf" 20
"tmj1" 20
"tn12" 20
"tn3" 20
"tn4" 20
"tn51" 20
"tn81" 20
"tnf" 20
"tnj" 20
"tnl" 20
"tpb2" 20
"tpc" 20
"tpc1" 20
"tpd" 20
"tpg1" 20
"tpn1" 20
